areaCode,areaName,areaType,date,hospitalCases,newCasesByPublishDate
K02000001,United Kingdom,overview,2021-10-08,,36060
K02000001,United Kingdom,overview,2021-10-07,6763,40701
K02000001,United Kingdom,overview,2021-10-06,6828,39851
K02000001,United Kingdom,overview,2021-10-05,6850,33869
K02000001,United Kingdom,overview,2021-10-04,6777,35077
K02000001,United Kingdom,overview,2021-10-03,6592,30439
K02000001,United Kingdom,overview,2021-10-02,6437,30301
K02000001,United Kingdom,overview,2021-10-01,6590,35577
K02000001,United Kingdom,overview,2021-09-30,6763,36480
K02000001,United Kingdom,overview,2021-09-29,6912,36722
K02000001,United Kingdom,overview,2021-09-28,7029,34526
K02000001,United Kingdom,overview,2021-09-27,7048,37960
K02000001,United Kingdom,overview,2021-09-26,6816,32417
K02000001,United Kingdom,overview,2021-09-25,6956,32468
K02000001,United Kingdom,overview,2021-09-24,6914,35623
K02000001,United Kingdom,overview,2021-09-23,7165,36710
K02000001,United Kingdom,overview,2021-09-22,7415,34460
K02000001,United Kingdom,overview,2021-09-21,7625,31564
K02000001,United Kingdom,overview,2021-09-20,7797,36100
K02000001,United Kingdom,overview,2021-09-19,7745,29612
K02000001,United Kingdom,overview,2021-09-18,7695,30144
K02000001,United Kingdom,overview,2021-09-17,7906,32651
K02000001,United Kingdom,overview,2021-09-16,8111,26911
K02000001,United Kingdom,overview,2021-09-15,8395,30597
K02000001,United Kingdom,overview,2021-09-14,8391,26628
K02000001,United Kingdom,overview,2021-09-13,8470,30825
K02000001,United Kingdom,overview,2021-09-12,8247,29173
K02000001,United Kingdom,overview,2021-09-11,8137,29547
K02000001,United Kingdom,overview,2021-09-10,8309,37622
K02000001,United Kingdom,overview,2021-09-09,8138,38013
K02000001,United Kingdom,overview,2021-09-08,8129,38975
K02000001,United Kingdom,overview,2021-09-07,7974,37489
K02000001,United Kingdom,overview,2021-09-06,8032,41192
K02000001,United Kingdom,overview,2021-09-05,7747,37011
K02000001,United Kingdom,overview,2021-09-04,7551,37578
K02000001,United Kingdom,overview,2021-09-03,7667,42076
K02000001,United Kingdom,overview,2021-09-02,7618,38154
K02000001,United Kingdom,overview,2021-09-01,7677,35693
K02000001,United Kingdom,overview,2021-08-31,7675,32181
K02000001,United Kingdom,overview,2021-08-30,7336,26476
K02000001,United Kingdom,overview,2021-08-29,7107,33196
K02000001,United Kingdom,overview,2021-08-28,6976,32406
K02000001,United Kingdom,overview,2021-08-27,7081,38046
K02000001,United Kingdom,overview,2021-08-26,7029,38281
K02000001,United Kingdom,overview,2021-08-25,6983,35847
K02000001,United Kingdom,overview,2021-08-24,6959,30838
K02000001,United Kingdom,overview,2021-08-23,7017,31914
K02000001,United Kingdom,overview,2021-08-22,6746,32253
K02000001,United Kingdom,overview,2021-08-21,6528,32058
K02000001,United Kingdom,overview,2021-08-20,6517,37314
K02000001,United Kingdom,overview,2021-08-19,6507,36572
K02000001,United Kingdom,overview,2021-08-18,6464,33904
K02000001,United Kingdom,overview,2021-08-17,6406,26852
K02000001,United Kingdom,overview,2021-08-16,6382,28438
K02000001,United Kingdom,overview,2021-08-15,6045,26750
K02000001,United Kingdom,overview,2021-08-14,5882,29520
K02000001,United Kingdom,overview,2021-08-13,5984,32700
K02000001,United Kingdom,overview,2021-08-12,5956,33074
K02000001,United Kingdom,overview,2021-08-11,6002,29612
K02000001,United Kingdom,overview,2021-08-10,6018,23510
K02000001,United Kingdom,overview,2021-08-09,6016,25161
K02000001,United Kingdom,overview,2021-08-08,5855,27429
K02000001,United Kingdom,overview,2021-08-07,5701,28612
K02000001,United Kingdom,overview,2021-08-06,5750,31808
K02000001,United Kingdom,overview,2021-08-05,5753,30215
