areaCode,areaName,areaType,date,cumPeopleVaccinatedCompleteByPublishDate,cumPeopleVaccinatedFirstDoseByPublishDate,cumPeopleVaccinatedSecondDoseByPublishDate,cumVaccinationCompleteCoverageByPublishDatePercentage,newVaccinesGivenByPublishDate
K02000001,United Kingdom,overview,2021-10-07,45107185,49101734,45107185,78.4,61685
K02000001,United Kingdom,overview,2021-10-06,45078529,49068705,45078529,78.4,61404
K02000001,United Kingdom,overview,2021-10-05,45049953,49035877,45049953,78.3,69919
K02000001,United Kingdom,overview,2021-10-04,45021381,48994530,45021381,78.3,67008
K02000001,United Kingdom,overview,2021-10-03,44992044,48956859,44992044,78.2,45655
K02000001,United Kingdom,overview,2021-10-02,44970512,48932736,44970512,78.2,65457
K02000001,United Kingdom,overview,2021-10-01,44936121,48901670,44936121,78.1,72469
K02000001,United Kingdom,overview,2021-09-30,44901832,48863490,44901832,78.1,68831
K02000001,United Kingdom,overview,2021-09-29,44867373,48829118,44867373,78.0,65632
K02000001,United Kingdom,overview,2021-09-28,44833280,48797579,44833280,78.0,65385
K02000001,United Kingdom,overview,2021-09-27,44799748,48765726,44799748,77.9,58096
K02000001,United Kingdom,overview,2021-09-26,44766571,48740807,44766571,77.8,41523
K02000001,United Kingdom,overview,2021-09-25,44741032,48724823,44741032,77.8,71414
K02000001,United Kingdom,overview,2021-09-24,44693914,48700527,44693914,77.7,72376
K02000001,United Kingdom,overview,2021-09-23,44649155,48672910,44649155,77.6,69671
K02000001,United Kingdom,overview,2021-09-22,44604567,48647827,44604567,77.6,66726
K02000001,United Kingdom,overview,2021-09-21,44560520,48625148,44560520,77.5,63790
K02000001,United Kingdom,overview,2021-09-20,44517114,48604764,44517114,77.4,66492
K02000001,United Kingdom,overview,2021-09-19,44470772,48584614,44470772,77.3,48997
K02000001,United Kingdom,overview,2021-09-18,44435615,48570774,44435615,77.3,98695
K02000001,United Kingdom,overview,2021-09-17,44363118,48544576,44363118,77.1,81162
K02000001,United Kingdom,overview,2021-09-16,44302734,48523798,44302734,77.0,87024
K02000001,United Kingdom,overview,2021-09-15,44238761,48500747,44238761,76.9,87692
K02000001,United Kingdom,overview,2021-09-14,44175471,48476345,44175471,76.8,84370
K02000001,United Kingdom,overview,2021-09-13,44108746,48458700,44108746,76.7,80081
K02000001,United Kingdom,overview,2021-09-12,44048093,48439272,44048093,76.6,67570
K02000001,United Kingdom,overview,2021-09-11,43995478,48424317,43995478,76.5,125972
K02000001,United Kingdom,overview,2021-09-10,43897419,48396404,43897419,76.3,117875
K02000001,United Kingdom,overview,2021-09-09,43805608,48370340,43805608,76.2,122476
K02000001,United Kingdom,overview,2021-09-08,43708906,48344566,43708906,76.0,113091
K02000001,United Kingdom,overview,2021-09-07,43620946,48319435,43620946,75.9,112472
K02000001,United Kingdom,overview,2021-09-06,43535098,48292811,43535098,75.7,102713
K02000001,United Kingdom,overview,2021-09-05,43455083,48270113,43455083,75.6,94988
K02000001,United Kingdom,overview,2021-09-04,43381890,48248318,43381890,75.4,169607
K02000001,United Kingdom,overview,2021-09-03,43253337,48207264,43253337,75.2,145856
K02000001,United Kingdom,overview,2021-09-02,43142747,48171998,43142747,75.0,159377
K02000001,United Kingdom,overview,2021-09-01,43023372,48131996,43023372,74.8,157473
K02000001,United Kingdom,overview,2021-08-31,42909987,48087908,42909987,74.6,159301
K02000001,United Kingdom,overview,2021-08-30,42790585,48048009,42790585,74.4,86291
K02000001,United Kingdom,overview,2021-08-29,42723937,48028366,42723937,74.3,103830
K02000001,United Kingdom,overview,2021-08-28,42644497,48003976,42644497,74.2,176959
K02000001,United Kingdom,overview,2021-08-27,42510809,47960705,42510809,73.9,176393
K02000001,United Kingdom,overview,2021-08-26,42379353,47915768,42379353,73.7,200076
K02000001,United Kingdom,overview,2021-08-25,42234417,47860628,42234417,73.4,229781
K02000001,United Kingdom,overview,2021-08-24,42072712,47792552,42072712,73.2,186086
K02000001,United Kingdom,overview,2021-08-23,41942036,47737142,41942036,72.9,177684
K02000001,United Kingdom,overview,2021-08-22,41810753,47690741,41810753,72.7,156697
K02000001,United Kingdom,overview,2021-08-21,41694401,47650396,41694401,72.5,267887
K02000001,United Kingdom,overview,2021-08-20,41499520,47577390,41499520,72.2,228277
K02000001,United Kingdom,overview,2021-08-19,41332128,47516505,41332128,71.9,231038
K02000001,United Kingdom,overview,2021-08-18,41157069,47460526,41157069,71.6,216507
K02000001,United Kingdom,overview,2021-08-17,40987846,47413242,40987846,71.3,189699
K02000001,United Kingdom,overview,2021-08-16,40841971,47369418,40841971,71.0,174106
