areaCode,areaName,areaType,date,cumPeopleVaccinatedCompleteByPublishDate,newAdmissions,newCasesByPublishDate,newDailyNsoDeathsByDeathDate,newVaccinesGivenByPublishDate
K02000001,United Kingdom,overview,2021-10-08,,,36060,,
K02000001,United Kingdom,overview,2021-10-07,45107185,,40701,,61685
K02000001,United Kingdom,overview,2021-10-06,45078529,,39851,,61404
K02000001,United Kingdom,overview,2021-10-05,45049953,,33869,,69919
K02000001,United Kingdom,overview,2021-10-04,45021381,747,35077,,67008
K02000001,United Kingdom,overview,2021-10-03,44992044,682,30439,,45655
K02000001,United Kingdom,overview,2021-10-02,44970512,669,30301,,65457
K02000001,United Kingdom,overview,2021-10-01,44936121,651,35577,,72469
K02000001,United Kingdom,overview,2021-09-30,44901832,654,36480,,68831
K02000001,United Kingdom,overview,2021-09-29,44867373,793,36722,,65632
K02000001,United Kingdom,overview,2021-09-28,44833280,762,34526,,65385
K02000001,United Kingdom,overview,2021-09-27,44799748,778,37960,,58096
K02000001,United Kingdom,overview,2021-09-26,44766571,663,32417,,41523
K02000001,United Kingdom,overview,2021-09-25,44741032,668,32468,,71414
K02000001,United Kingdom,overview,2021-09-24,44693914,722,35623,69,72376
K02000001,United Kingdom,overview,2021-09-23,44649155,769,36710,99,69671
K02000001,United Kingdom,overview,2021-09-22,44604567,747,34460,114,66726
K02000001,United Kingdom,overview,2021-09-21,44560520,794,31564,108,63790
K02000001,United Kingdom,overview,2021-09-20,44517114,805,36100,134,66492
K02000001,United Kingdom,overview,2021-09-19,44470772,725,29612,120,48997
K02000001,United Kingdom,overview,2021-09-18,44435615,756,30144,126,98695
K02000001,United Kingdom,overview,2021-09-17,44363118,754,32651,167,81162
K02000001,United Kingdom,overview,2021-09-16,44302734,885,26911,149,87024
K02000001,United Kingdom,overview,2021-09-15,44238761,947,30597,155,87692
K02000001,United Kingdom,overview,2021-09-14,44175471,944,26628,153,84370
K02000001,United Kingdom,overview,2021-09-13,44108746,934,30825,112,80081
K02000001,United Kingdom,overview,2021-09-12,44048093,861,29173,136,67570
K02000001,United Kingdom,overview,2021-09-11,43995478,851,29547,140,125972
K02000001,United Kingdom,overview,2021-09-10,43897419,919,37622,146,117875
K02000001,United Kingdom,overview,2021-09-09,43805608,1030,38013,174,122476
K02000001,United Kingdom,overview,2021-09-08,43708906,1161,38975,137,113091
K02000001,United Kingdom,overview,2021-09-07,43620946,1099,37489,157,112472
K02000001,United Kingdom,overview,2021-09-06,43535098,1076,41192,148,102713
